iter	Passed	Remaining
0	13	13450
1	29	14886
2	43	14382
3	61	15398
4	74	14908
5	89	14780
6	101	14446
7	113	14134
8	126	13880
9	139	13796
10	151	13641
11	164	13533
12	176	13399
13	188	13288
14	202	13274
15	215	13243
16	227	13181
17	240	13146
18	254	13127
19	267	13129
20	281	13135
21	294	13110
22	307	13071
23	320	13039
24	335	13065
25	347	13020
26	360	13004
27	373	12964
28	386	12930
29	399	12917
30	411	12872
31	424	12835
32	436	12787
33	449	12775
34	462	12746
35	474	12709
36	487	12691
37	500	12665
38	513	12652
39	527	12664
40	543	12719
41	559	12766
42	575	12819
43	591	12847
44	605	12859
45	620	12868
46	636	12896
47	649	12877
48	662	12858
49	675	12829
50	687	12792
51	699	12759
52	711	12708
53	723	12671
54	734	12627
55	747	12594
56	759	12558
57	771	12531
58	784	12512
59	796	12480
60	808	12451
61	821	12422
62	834	12406
63	846	12383
64	859	12366
65	872	12347
66	884	12320
67	899	12322
68	919	12404
69	938	12469
70	960	12566
71	981	12654
72	1002	12727
73	1022	12790
74	1041	12840
75	1059	12880
76	1079	12942
77	1100	13007
78	1120	13067
79	1141	13127
80	1164	13213
81	1184	13262
82	1206	13327
83	1227	13385
84	1248	13436
85	1268	13481
86	1294	13579
87	1316	13646
88	1334	13661
89	1356	13717
90	1375	13737
91	1393	13753
92	1412	13771
93	1426	13746
94	1438	13699
95	1450	13661
96	1463	13624
97	1477	13603
98	1490	13565
99	1502	13522
100	1514	13484
101	1527	13450
102	1540	13415
103	1552	13378
104	1564	13335
105	1576	13295
106	1588	13253
107	1601	13231
108	1613	13191
109	1627	13166
110	1639	13134
111	1651	13097
112	1664	13067
113	1678	13045
114	1690	13013
115	1702	12971
116	1714	12938
117	1727	12910
118	1739	12880
119	1753	12855
120	1765	12823
121	1777	12792
122	1790	12768
123	1805	12756
124	1824	12774
125	1843	12785
126	1862	12803
127	1882	12826
128	1901	12841
129	1920	12853
130	1938	12860
131	1956	12867
132	1974	12873
133	1992	12876
134	2009	12876
135	2027	12882
136	2046	12890
137	2063	12891
138	2081	12891
139	2099	12896
140	2118	12905
141	2137	12914
142	2156	12921
143	2175	12933
144	2194	12939
145	2213	12947
146	2233	12957
147	2251	12959
148	2270	12967
149	2287	12962
150	2303	12948
151	2317	12931
152	2332	12912
153	2347	12893
154	2358	12859
155	2371	12833
156	2386	12816
157	2399	12789
158	2412	12759
159	2425	12732
160	2439	12710
161	2453	12692
162	2465	12662
163	2478	12632
164	2491	12606
165	2504	12582
166	2517	12559
167	2531	12536
168	2545	12515
169	2559	12497
170	2573	12478
171	2585	12448
172	2597	12417
173	2609	12386
174	2621	12357
175	2632	12327
176	2644	12297
177	2656	12267
178	2668	12238
179	2680	12211
180	2692	12185
181	2707	12167
182	2719	12142
183	2731	12114
184	2748	12106
185	2763	12094
186	2776	12069
187	2788	12041
188	2799	12014
189	2813	11993
190	2825	11968
191	2837	11942
192	2851	11924
193	2870	11924
194	2889	11926
195	2906	11922
196	2925	11924
197	2944	11924
198	2961	11920
199	2979	11916
200	2997	11917
201	3016	11914
202	3036	11923
203	3056	11926
204	3075	11926
205	3098	11943
206	3123	11965
207	3162	12040
208	3181	12041
209	3200	12040
210	3219	12038
211	3238	12036
212	3261	12051
213	3280	12050
214	3315	12103
215	3334	12103
216	3352	12096
217	3370	12090
218	3388	12084
219	3407	12082
220	3424	12071
221	3442	12063
222	3459	12054
223	3477	12048
224	3495	12039
225	3511	12027
226	3528	12015
227	3545	12006
228	3563	11998
229	3581	11990
230	3598	11979
231	3617	11975
232	3636	11971
233	3654	11961
234	3670	11947
235	3688	11940
236	3710	11946
237	3727	11935
238	3745	11926
239	3763	11917
240	3781	11908
241	3798	11898
242	3816	11888
243	3834	11879
244	3852	11871
245	3871	11865
246	3890	11861
247	3909	11853
248	3928	11847
249	3945	11837
250	3965	11831
251	3985	11828
252	4004	11822
253	4022	11814
254	4041	11808
255	4061	11804
256	4080	11797
257	4099	11788
258	4116	11778
259	4130	11756
260	4142	11730
261	4157	11710
262	4177	11707
263	4196	11700
264	4215	11691
265	4233	11682
266	4252	11674
267	4275	11678
268	4299	11683
269	4319	11677
270	4339	11672
271	4363	11678
272	4382	11669
273	4399	11657
274	4418	11649
275	4437	11639
276	4455	11630
277	4474	11620
278	4490	11605
279	4508	11593
280	4537	11610
281	4555	11599
282	4575	11592
283	4594	11583
284	4613	11573
285	4632	11565
286	4653	11559
287	4671	11549
288	4690	11539
289	4708	11527
290	4727	11517
291	4757	11534
292	4776	11526
293	4793	11511
294	4812	11500
295	4853	11543
296	4872	11532
297	4892	11524
298	4915	11523
299	4933	11512
300	4953	11503
301	4974	11496
302	4995	11490
303	5015	11483
304	5035	11474
305	5055	11466
306	5076	11458
307	5100	11458
308	5122	11455
309	5144	11451
310	5167	11447
311	5190	11446
312	5209	11434
313	5229	11424
314	5251	11419
315	5271	11409
316	5292	11402
317	5311	11391
318	5330	11379
319	5351	11372
320	5370	11359
321	5399	11368
322	5418	11357
323	5437	11344
324	5457	11334
325	5475	11320
326	5493	11305
327	5510	11288
328	5527	11273
329	5545	11258
330	5562	11243
331	5581	11230
332	5599	11216
333	5618	11203
334	5636	11187
335	5653	11171
336	5671	11157
337	5690	11145
338	5708	11130
339	5727	11117
340	5743	11098
341	5758	11079
342	5773	11059
343	5788	11038
344	5806	11023
