iter	Passed	Remaining
0	1	163
1	3	165
2	4	153
3	6	147
4	7	140
5	9	141
6	10	137
7	11	133
8	12	130
9	14	129
10	15	128
11	17	128
12	18	126
13	20	125
14	21	124
15	23	125
16	25	122
17	26	121
18	28	120
19	29	118
20	30	116
21	33	117
22	34	116
23	36	114
24	37	113
25	39	111
26	40	110
27	42	109
28	44	108
29	46	107
30	47	105
31	49	104
32	52	105
33	53	104
34	55	103
35	57	101
36	58	99
37	60	98
38	61	96
39	63	94
40	64	92
41	65	90
42	67	89
43	68	87
44	69	85
45	71	83
46	72	81
47	74	80
48	76	79
49	77	77
50	79	76
51	81	74
52	82	73
53	83	71
54	85	69
55	86	68
56	88	66
57	89	64
58	90	63
59	92	61
60	94	60
61	95	58
62	96	56
63	98	55
64	99	53
65	100	51
66	102	50
67	103	48
68	104	47
69	106	45
70	107	43
71	109	42
72	110	40
73	112	39
74	113	37
75	115	36
76	116	34
77	118	33
78	119	31
79	121	30
80	122	28
81	124	27
82	125	25
83	127	24
84	128	22
85	130	21
86	131	19
87	133	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	146	2
98	148	1
99	149	0
