iter	RMSE
0	3.159984455
1	2.897377532
2	2.66127026
3	2.449166626
4	2.260846146
5	2.091622898
6	1.926305064
7	1.785303033
8	1.655113655
9	1.537237709
10	1.434672131
11	1.334168891
12	1.245581132
13	1.165523301
14	1.087686844
15	1.021972487
16	0.9597396117
17	0.9044790594
18	0.8517136447
19	0.8050337932
20	0.7640370239
21	0.7235180313
22	0.6922504978
23	0.6609338015
24	0.6296041316
25	0.6019560449
26	0.5790661564
27	0.5554307034
28	0.5352358981
29	0.5183812082
30	0.5005405066
31	0.4836309525
32	0.4682840654
33	0.4529657118
34	0.4405953234
35	0.4289740511
36	0.4162979346
37	0.4072415141
38	0.3974812932
39	0.3903879023
40	0.3829274008
41	0.3760079197
42	0.3680534317
43	0.3617197378
44	0.3541524064
45	0.347796122
46	0.342124273
47	0.3385429675
48	0.3320490813
49	0.3276719134
50	0.3229200191
51	0.3196993433
52	0.3169290561
53	0.3136461312
54	0.3115712927
55	0.3099962087
56	0.3073618837
57	0.3044765282
58	0.3013253694
59	0.3003476683
60	0.2985342854
61	0.2975000224
62	0.2936521393
63	0.2905997208
64	0.2884645932
65	0.2870240058
66	0.2855398665
67	0.2835928897
68	0.2791100954
69	0.2781065586
70	0.2739536531
71	0.2727042752
72	0.269431684
73	0.2681072794
74	0.2654579851
75	0.2626996027
76	0.2617898467
77	0.2600862566
78	0.2589432508
79	0.2579391932
80	0.255838619
81	0.2553736563
82	0.2531820872
83	0.2503460157
84	0.2495726928
85	0.2484891216
86	0.246762539
87	0.2448242154
88	0.2419129884
89	0.2409157671
90	0.2398878512
91	0.2375093965
92	0.2370316353
93	0.2339316192
94	0.2313442281
95	0.2308888468
96	0.2302167304
97	0.2290418534
98	0.2272647012
99	0.2253889146
100	0.2247214987
101	0.2229888047
102	0.2221102611
103	0.2211775382
104	0.2207724245
105	0.2196105524
106	0.2175834786
107	0.216319729
108	0.2159388242
109	0.2136389638
110	0.2127961659
111	0.2098907653
112	0.2083654349
113	0.2079654615
114	0.2069515227
115	0.2060199817
116	0.2040758413
117	0.2033288977
118	0.202041821
119	0.2006778633
120	0.1999903365
121	0.1983895454
122	0.1960654572
123	0.1949143249
124	0.1934747535
125	0.1920927767
126	0.1911200078
127	0.1900130572
128	0.1895797122
129	0.1893532191
130	0.1881759572
131	0.187874817
132	0.1872414711
133	0.1862859761
134	0.1855732381
135	0.1837378946
136	0.1835381281
137	0.1826092913
138	0.1810518146
139	0.1798125811
140	0.1791401969
141	0.1784534835
142	0.1778250158
143	0.1770862109
144	0.176564972
145	0.175422704
146	0.1747850871
147	0.1738531454
148	0.17332865
149	0.1727668077
150	0.1721132151
151	0.1708084471
152	0.1699784252
153	0.1697981761
154	0.1687416854
155	0.1677814514
156	0.1670057577
157	0.1664238483
158	0.1649353528
159	0.1643647628
160	0.1636446099
161	0.163500634
162	0.1629692193
163	0.1624677573
164	0.1614276788
165	0.1611092476
166	0.1601405435
167	0.1593342665
168	0.1591909976
169	0.1583149601
170	0.1577373448
171	0.1571705433
172	0.1561970628
173	0.1558139078
174	0.1552743468
175	0.1548194706
176	0.1546761493
177	0.1537097636
178	0.1532094053
179	0.1524220097
180	0.1523068129
181	0.1518835714
182	0.1510211873
183	0.1501699431
184	0.1495678796
185	0.1493027523
186	0.148883228
187	0.147670999
188	0.1471889974
189	0.1465007959
190	0.1454312016
191	0.1448904862
192	0.1443579123
193	0.1441885169
194	0.1432720249
195	0.1429877813
196	0.1425930681
197	0.1421797101
198	0.1416550422
199	0.1407847032
200	0.1402530447
201	0.1398548563
202	0.139478634
203	0.1391318636
204	0.1387710677
205	0.1381631748
206	0.138071851
207	0.1374189748
208	0.1370125019
209	0.1366507626
210	0.1364127919
211	0.1362569768
212	0.135961901
213	0.1355024956
214	0.1352394303
215	0.1349100379
216	0.1345565522
217	0.1339168008
218	0.1336705871
219	0.133261233
220	0.1331449873
221	0.132836361
222	0.1326805805
223	0.1323857629
224	0.1320156432
225	0.1312078209
226	0.1309634539
227	0.1303819267
228	0.1299537887
229	0.1296942713
230	0.1294598842
231	0.1288556088
232	0.1285259185
233	0.1284149237
234	0.1282142381
235	0.1275567817
236	0.1272858404
237	0.1272261644
238	0.1268492725
239	0.1264149606
240	0.1262033174
241	0.1260069442
242	0.1256989539
243	0.1254703569
244	0.1252740684
245	0.1249592281
246	0.1248301581
247	0.1245092855
248	0.1241957203
249	0.123403079
250	0.1227981992
251	0.1226010503
252	0.1223401504
253	0.1221123989
254	0.121828708
255	0.1216840198
256	0.1215958409
257	0.121424508
258	0.1209776729
259	0.1205464886
260	0.1203767933
261	0.1199537376
262	0.1198647929
263	0.1194663553
264	0.119216962
265	0.1189407658
266	0.1188335462
267	0.1186305145
268	0.1185202245
269	0.1184131992
270	0.1180523363
271	0.1178810798
272	0.1177137318
273	0.1176215881
274	0.1174881012
275	0.1171015679
276	0.1167584024
277	0.1160695079
278	0.1158721182
279	0.1157685506
280	0.1153889076
