iter	Passed	Remaining
0	13	13319
1	32	16003
2	50	16808
3	73	18266
4	86	17257
5	109	18166
6	126	17914
7	140	17386
8	153	16910
9	167	16545
10	183	16468
11	196	16174
12	211	16031
13	226	15953
14	241	15864
15	260	15996
16	278	16117
17	297	16244
18	315	16277
19	330	16185
20	344	16078
21	359	15960
22	373	15861
23	387	15745
24	400	15623
25	415	15549
26	429	15494
27	444	15422
28	457	15330
29	473	15299
30	487	15222
31	500	15138
32	514	15067
33	528	15016
34	542	14949
35	556	14891
36	571	14876
37	585	14832
38	598	14745
39	610	14658
40	626	14643
41	639	14584
42	652	14530
43	667	14506
44	682	14479
45	694	14408
46	707	14345
47	720	14297
48	734	14262
49	748	14213
50	763	14208
51	777	14179
52	790	14123
53	804	14098
54	819	14084
55	833	14051
56	846	14012
57	862	14011
58	878	14006
59	892	13982
60	906	13957
61	920	13923
62	933	13890
63	951	13918
64	967	13922
65	982	13903
66	996	13877
67	1010	13850
68	1023	13812
69	1037	13779
70	1050	13749
71	1065	13735
72	1081	13734
73	1095	13707
74	1109	13681
75	1123	13658
76	1136	13622
77	1149	13592
78	1164	13573
79	1179	13561
80	1193	13544
81	1207	13513
82	1222	13503
83	1238	13504
84	1257	13534
85	1271	13511
86	1286	13501
87	1300	13475
88	1315	13466
89	1329	13443
90	1343	13417
91	1358	13403
92	1372	13389
93	1388	13385
94	1402	13357
95	1415	13333
96	1428	13301
97	1442	13280
98	1456	13258
99	1470	13234
100	1485	13223
101	1500	13212
102	1515	13195
103	1528	13171
104	1542	13149
105	1555	13119
106	1569	13101
107	1593	13160
108	1608	13146
109	1622	13125
110	1636	13107
111	1649	13079
112	1663	13056
113	1677	13035
114	1692	13028
115	1707	13011
116	1724	13016
117	1741	13013
118	1755	12997
119	1768	12971
120	1783	12953
121	1797	12937
122	1813	12928
123	1827	12910
124	1840	12880
125	1853	12855
126	1867	12838
127	1881	12820
128	1897	12812
129	1912	12795
130	1926	12777
131	1939	12753
132	1953	12736
133	1968	12723
134	1982	12700
135	1997	12688
136	2013	12681
137	2027	12664
138	2040	12639
139	2053	12614
140	2067	12598
141	2082	12580
142	2099	12580
143	2113	12563
144	2127	12545
145	2141	12527
146	2155	12510
147	2169	12490
148	2182	12467
149	2197	12452
150	2213	12442
151	2230	12442
152	2243	12421
153	2257	12403
